DateOfMeet,MeetName,Location
12-Jul,Highland Games,"Linville, NC"
24-Jul,App State XC Team Camp 1,"Boone, NC"
31-Jul,App State Team Camp #2 Race,"Boone, NC"
14-Aug,Laney 2 Mile Scrimmage,"Wilmington, NC"
15-Aug,Cary Academy Home Meet,"Cary, NC"
16-Aug,Mecklenburg County 2-Mile Preview,"Charlotte, NC"
16-Aug,Pioneer Clash of the Classes Entries Closed,"Boone, NC"
16-Aug,Training Meet,"Cary, NC"
16-Aug,Wake County Kickoff Classic,"Cary, NC"
19-Aug,Alamance County Meet #1,"Burlington, NC"
19-Aug,Glenn Home Meet,"Kernersville, NC"
19-Aug,Wonder Relays (5 X 1 mile Relay),"Concord, NC"
20-Aug,Northwestern 3A/4A Conference Relays,"Newton, NC"
21-Aug,Hoggard 5K Time Trial,"Wilmington, NC"
21-Aug,Southeast Guilford Home Meet,"Pleasant Garden, NC"
22-Aug,Fike Night Relays Entries Closed,"Wilson, NC"
23-Aug,Wendell Park Early Bird Invitational,"Wendell, NC"
23-Aug,Providence Invitational,"Charlotte, NC"
23-Aug,WNC Carnival,"Hendersonville, NC"
25-Aug,Trinity Dual Meet,"Archdale, NC"
26-Aug,Chatham County Meet,"Pittsboro, NC"
26-Aug,CISAA & GCMSAA Regular Season,"Charlotte, NC"
26-Aug,EPIC Regular Season Meet,"Southern Pines, NC"
26-Aug,Guilford County Championship Entries Closed,"Pleasant Garden, NC"
26-Aug,Hobbton Invitational,"Newton Grove, NC"
26-Aug,Jackson County Invitational,"Cullowhee, NC"
26-Aug,Metrolina Christian Home Meet No. 1,"Charlotte, NC"
26-Aug,North Piedmont Conference Relays,"Conover, NC"
26-Aug,Rowan Pre-County Meet,"Salisbury, NC"
26-Aug,The O'Neal School,"Southern Pines, NC"
27-Aug,Alamance County Meet #2,"Burlington, NC"
27-Aug,Ashbrook Luminary Run Entries Closed,"Gastonia, NC"
27-Aug,Cape Fear Valley XC Meet,"Sanford, NC"
27-Aug,Draughn Home Meet,"Valdese, NC"
27-Aug,ECC CB Aycock/JH Rose/ DH Conley,"Pikeville, NC"
27-Aug,Heritage vs Leesville/Apex,"Wake Forest, NC"
27-Aug,Ledford Home Meet,"Thomasville , NC"
27-Aug,Millbrook Home Meet,"Raleigh, NC"
27-Aug,Scrimmage,"Wendell, NC"
27-Aug,South Lenoir Home Meet 1,"Deep Run, NC"
27-Aug,Tarboro / SWE @ Tarboro,"Tarboro, NC"
27-Aug,Wakefield Home Meet,"Cary, NC"
27-Aug,Washington/Riverside 1A,"Washington, NC"
28-Aug,Calvary Baptist Day School,"Clemmons, NC"
28-Aug,Cannon School Home Meet,"Concord, NC"
28-Aug,Cape Fear Valley Conf. Meet,"Fayetteville, NC"
28-Aug,Chatham County Meet,"Siver City, NC"
28-Aug,Community Christian School Home Meet,"Wilson, NC"
28-Aug,MEC Opening Meet,"Wilmington, NC"
28-Aug,Northwest Conference Invitational,"Kernersville, NC"
28-Aug,Rocket XC Relay,"Asheville, NC"
30-Aug,Jungle Run Night Race Entries Closed,"Hope Mills, NC"
30-Aug,Hyder-McMahill Classic,"Black Mountain, NC"
2-Sep,CISAA-GCMSAA Regular Season Meet,"Charlotte, NC"
2-Sep,Conference @ Reidsville City Lake,"Reidsville, NC"
2-Sep,Forestview Meet,"Gastonia, NC"
2-Sep,Four County Conference Opener,"Newton Grove, NC"
2-Sep,Grace Christian Home Meet,"Cary, NC"
2-Sep,Northside (1A) Home Meet,"Pinetown, NC"
2-Sep,Nothwest Cabarrus Carnival,"Concord, NC"
2-Sep,Pinecrest SEC Meet #1,"Southern Pines, NC"
2-Sep,Richmond Senior SEC Meet #1,"Rockingham, NC"
2-Sep,Rosewood Home MEet,"Goldsboro, NC"
2-Sep,SouthLake Christian Meet,", NC"
2-Sep,West Davidson Home Meet,"Tyro, NC"
3-Sep,Big East Conference,"Wilson, NC"
3-Sep,Caldwell County Invitational,"Lenoir, NC"
3-Sep,CFV XC Meet,"Sanford, NC"
3-Sep,ECC / DHC / JH Rose,"Winterville, NC"
3-Sep,Fletcher Park Preview Meet,"Fletcher, NC"
3-Sep,Goldsboro Home Meet 1,", NC"
3-Sep,Green Central Meet 1,", NC"
3-Sep,NCC Meet #1,"Ahoskie, NC"
3-Sep,Norman Trzaskoma Invitational (Forsyth County Championships),"Clemmons, NC"
3-Sep,Piedmont Triad 4A Meet,"Kernersville, NC"
3-Sep,regular conference meet v. grays creek,", NC"
3-Sep,Riverside / Northhampton / RMP,"Williamston, NC"
3-Sep,South Creek & North Edgecombe @ Tarboro,"Tarboro, NC"
3-Sep,Summit School Home Meet,"Winston-Salem, NC"
3-Sep,SWAC Meet #1,"Cary, NC"
3-Sep,Tarboro Home Meet,"Tarboro, NC"
3-Sep,Trinity Dual Meet,"Archdale, NC"
3-Sep,Wake Forest Home Meet,"Wake Forest, NC"
3-Sep,Weddington Home Meet,"Matthews, NC"
3-Sep,YVC East Pre-Conference,"Denton, NC"
4-Sep,Alamance County Meet #3,"Elon, NC"
9/49/6,Cannon School Cross Country Invitational,"Concord, NC"
4-Sep,Fisher River Invitational,"Dobson, NC"
4-Sep,Lincoln county championship,"Lincolnton, NC"
4-Sep,North Gaston Home Meet,"Gastonia, NC"
4-Sep,South Brunswick Home Meet,"Southport, NC"
4-Sep,Wayne Christian School,"Goldsboro, NC"
4-Sep,Wayne Christian School - Home #1,", NC"
6-Sep,Durham Academy Invitational,"Durham, NC"
6-Sep,Knights Invitational Entries Closed,"Rocky Mount, NC"
6-Sep,Myers Park Invitational,"Charlotte, NC"
6-Sep,North Forsyth Cross-Country Invitational Entries Closed,"Winston-Salem, NC"
6-Sep,Seahawk Invitational Entries Closed,"Wilmington, NC"
6-Sep,Southern Guilford Invitational,"Greensboro, NC"
6-Sep,WCU HS/MS Invitational,"Cullowee, NC"
8-Sep,CISAA/GCMSAA Regular Season Meet,"Charlotte, NC"
8-Sep,S D 7 regular season meet,"Newton, NC"
9-Sep,Conference Warm-Up Meet,"Pleasant Garden, NC"
9-Sep,East Duplin Home Meet,"Beulaville, NC"
9-Sep,EPIC Regular Season Meet,"Cary, NC"
9-Sep,Manteo Home Meet,"Manteo, NC"
9-Sep,Marvin Ridge Home Meet,"Waxhaw, NC"
9-Sep,Millbrook Home Meet,"Raleigh, NC"
9-Sep,NoGa Home Meet #1,"Dallas, NC"
9-Sep,North Gaston Meet,"Dallas, NC"
9-Sep,Pre-Conference Meet @ McAnderson,"Statesville, NC"
9-Sep,Scotland Home Meet SEC Meet #2,"Laurinburg, NC"
9-Sep,SMAC Pre-Conference Meet,"Shelby, NC"
9-Sep,Spring Creek Home Meet,"Seven Springs, NC"
9-Sep,Statesville Invitational,"Statesville, NC"
10-Sep,Big East Conference,"Wilson, NC"
10-Sep,Buncombe County Championship,"Swannanoa, NC"
