DateOfMeet,MeetName,Location
14-Apr,PAC 6 @ Randleman,"Randleman, NC"
21-Jul,ASU Team Camp #1,"Boone, NC"
28-Jul,ASU Team Camp #2,"Boone, NC"
12-Aug,AC Reynolds scrimmage,"Asheville, NC"
13-Aug,BaySix Kickoff Classic Entries Closed,"Cary, NC"
13-Aug,Laney 3k Scrimmage,"Wilmington, NC"
16-Aug,Forsyth Country Day School Home Meet,"Lewisville, NC"
16-Aug,Joe Davis Park Meet hosted by Page High School,", NC"
16-Aug,Northwestern Conference Relay Meet Entries Closed,"Morganton, NC"
16-Aug,Tiger Challenge 3K Kickoff Entries Closed,"Hope Mills, NC"
8/188/19,Hoggard 5K Time Trial,", NC"
18-Aug,Joe Davis Park Meet hosted by Page High School,", NC"
18-Aug,Walnut Grove Christian XC Meet,"Charlotte, NC"
20-Aug,CXC Summer Night Invite,"Waxhaw, NC"
20-Aug,Mecklenburg County 2 Mile Preview,"Charlotte, NC"
20-Aug,Pioneer Class of the Classes Entries Closed,"Boone, NC"
20-Aug,SSS Invitational Entries Closed,"Smithfield, NC"
22-Aug,Community Christian Home Meet,"Wilson, NC"
22-Aug,CPIC Conference Meet,"Wilson, NC"
23-Aug,Ashbrook Luminary Run Entries Closed,"Gastonia, NC"
23-Aug,Granville Central Home Meet,"Stem, NC"
23-Aug,Hobbton Invitational,"Newton Grove, NC"
23-Aug,LNHS Home Meet #1 Entries Closed,"Mooresville, NC"
23-Aug,Page at SW Guilford,"High Point, NC"
24-Aug,Alamance County Tune Up,"Graham, NC"
24-Aug,"Apex, Cary, East Chapel Hill, Jordan, and Middle Creek Entries Closed","Cary, NC"
24-Aug,"Green Hope, Research Triangle Dual","Cary, NC"
24-Aug,Northwest vs Greensboro Day,"Greensboro, NC"
24-Aug,Quad meet at Corinth Holders,"Wendell, NC"
25-Aug,Durham Academy Home Meet,"Durham, NC"
25-Aug,East Davidson Black vs. Gold Scrimmage,"Thomasville, NC"
25-Aug,Grace Christian Home Meet,"Cary, NC"
25-Aug,Mideastern Conference Opener Entries Closed,"Wilmington, NC"
25-Aug,Northwest Invitational Entries Closed,"Kernersville, NC"
25-Aug,West Davidson Home Meet #1,"Tyro, NC"
27-Aug,Fike Night Relays Entries Closed,"Wilson, NC"
27-Aug,Leesville Road Girls Mile Time Trial,"Raleigh, NC"
27-Aug,Leesville Road Twilight Invite (CANCELLED) Entries Closed,"Raleigh, NC"
27-Aug,Metrolina Dual Meet,"Indian Trail, NC"
27-Aug,Providence Invitational,"Charlotte, NC"
27-Aug,Wendell Park Early Bird Invitational,"Wendell, NC"
27-Aug,WNC Carnival Entries Closed,"Hendersonville, NC"
29-Aug,CPIC Conference Meet,"--, NC"
29-Aug,SPAA Meet #1,"Newton, NC"
30-Aug,Central Davidson Home Meet,"Lexington, NC"
30-Aug,Guilford County Championship Entries Closed,"Pleasant Garden, NC"
30-Aug,NC Conference Meet #1,"Durham, NC"
30-Aug,Rosewood Home Meet,"Goldsboro, NC"
30-Aug,RRC Preseason,"Oakboro, NC"
30-Aug,South Piedmont Pre-Conference Meet,"Mount Ulla, NC"
30-Aug,Weddington Home Meet,"Matthews, NC"
30-Aug,Weddington MS Home Meet,"Matthews, NC"
31-Aug,Alamance County CC Championships Entries Closed,"Burlington, NC"
31-Aug,"Broughton, Panther Creek, Wake Forest and Middle Creek Entries Closed","Cary, NC"
31-Aug,CISAA Meet at Cannon School,"Concord, NC"
31-Aug,Coastal 3/A 4/A XC CB AYCOCK,", NC"
31-Aug,"ECC 3A/4A - DH Conley, JH Rose, CB Aycock","Pikeville, NC"
31-Aug,Green Hope Tri-Meet,"Cary, NC"
31-Aug,Greene Central Home Meet #1,"Snow Hill, NC"
31-Aug,John A Holmes Home Meet,"Edenton, NC"
31-Aug,Millbrook vs. Enloe,"Raleigh, NC"
31-Aug,Norman Trzaskoma Invitational (Forsyth County Championship) Entries Closed,"Kernersville, NC"
31-Aug,North Lenoir Home Meet 1,"Kinston, NC"
31-Aug,Oxford Prep Home Meet,"Oxford, NC"
31-Aug,Pizza Run,"Wilson, NC"
31-Aug,quad meet at CB Aycock,"Pikeville, NC"
31-Aug,Washington Home Meet,"Washington, NC"
1-Sep,Hawbridge School Home Meet,"Saxapahaw, NC"
1-Sep,Rocket Hokum Karem Relay,"Asheville, NC"
1-Sep,South Brunswick Classic Entries Closed,"Southport, NC"
3-Sep,Central Academy Cross Country Invitational - CANCELLED,"Monroe, NC"
3-Sep,Hyder-McMahill Invitational Entries Closed,"Montreat, NC"
3-Sep,Jungle Run: The Original Night-Time Race! Entries Closed,"Hope Mills, NC"
3-Sep,Verizon Moonlight Madness 5K,"Laurinburg, NC"
6-Sep,Bunker Hill Home Meet Entries Closed,"Claremont, NC"
6-Sep,Bunn Home Meet,"Bunn, NC"
6-Sep,CISAA/GCMSAA Meet #2,"Charlotte, NC"
6-Sep,Cummings Home Meet,"Burlington, NC"
6-Sep,Epiphany Invitational,"New Bern, NC"
6-Sep,Fisher River Invitational Entries Closed,"Dobson, NC"
6-Sep,Four County Conference Cross Country Meet #1,"Clinton, NC"
6-Sep,Hoke County Meet #1 Entries Closed,"Raeford, NC"
6-Sep,Jim Adams,", NC"
6-Sep,"Jordan, East Chapel Hill vs Cardinal Gibbons",", NC"
6-Sep,Lions XC Invitational,"Dobson, NC"
6-Sep,Marvin Ridge HS/MS 3K,"Waxhaw, NC"
6-Sep,Northwest Cabarrus Carnival,"Charlotte, NC"
6-Sep,SMAC Pre-Conference Meet Entries Closed,"Valdese, NC"
6-Sep,SPAA Meet #2,"Davidson, NC"
6-Sep,Spring Creek Home Meet,"Seven Springs, NC"
6-Sep,Trinity Home Dual Meet,"Archdale, NC"
7-Sep,Apex vs Panther Creek Entries Closed,"Cary, NC"
7-Sep,Asheboro/ Wheatmore Dual,"Asheboro, NC"
7-Sep,Big East Conference Meet 1,"Wilson, NC"
7-Sep,Buncombe County Championships,"Swannanoa, NC"
7-Sep,Caldwell County Cross Country Invitational Entries Closed,"Lenoir, NC"
7-Sep,Central Tar Heel Meet,"Mount Gilead, NC"
7-Sep,CFV-Meet 1,", NC"
7-Sep,ECC Meet 1,"Winterville, NC"
7-Sep,Fike Home Meet,"Wilson, NC"
7-Sep,GNRC XC Quad Meet #1 Entries Closed,"Rolesville, NC"
7-Sep,Green Hope/ Athens Drive Dual Meet,"Cary, NC"
7-Sep,Greene Central Home Meet #2,"Snow Hill, NC"
7-Sep,Ledford Home Meet,"Thomasville , NC"
7-Sep,MEC Meet at West Brunswick,"Shallote, NC"
7-Sep,NCC XC Meet #1,"Elizabeth City, NC"
7-Sep,Piedmont Triad 4A Pre-Conference meet,"Kernersville, NC"
7-Sep,Rockingham County Meet,"Reidsville, NC"
7-Sep,South Lenoir Home Meet 1,"Kinston, NC"
7-Sep,Three Rivers @ Luther Britt-9/7/16,"Lumberton, NC"
7-Sep,Three Rivers @ Luther Britt-9/7/16,"Lumberton, NC"
7-Sep,TRAC Conference Meet #1,"--, NC"
